_id,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
6051b379ed43600644644db1,9.4,0.401,0.26,0.9969,7.3,16,3.16,5,1.8,1.14,51,0.67
6051b379ed43600644644db2,10.3,0.069,0.48,0.9959,6.3,18,3.44,6,1.8,0.78,61,0.3
6051b379ed43600644644db3,10.1,0.076,0.15,0.9961,6.9,19,3.41,5,2.2,0.59,40,0.55
6051b379ed43600644644db4,9.9,0.11,0.28,0.9972,8.6,20,2.93,6,1.9,1.95,136,0.49
6051b379ed43600644644db5,9.6,0.062,0.26,0.9966,7.7,9,3.39,5,1.9,0.64,31,0.49
6051b379ed43600644644db6,9.5,0.107,0.44,0.9978,9.3,34,3.14,5,2.1,1.22,125,0.39
6051b379ed43600644644db7,9,0.076,0.08,0.9978,7,8,3.48,5,1.8,0.53,24,0.62
6051b379ed43600644644db8,9.5,0.079,0.26,0.9964,7.9,42,3.23,5,1.9,0.54,140,0.52
6051b379ed43600644644db9,9.9,0.11,0.28,0.9972,8.6,20,2.93,6,1.9,1.95,136,0.49
6051b379ed43600644644dba,9.8,0.11,0.29,0.9972,8.6,19,2.93,5,2,1.98,133,0.49
6051b379ed43600644644dbb,9.6,0.062,0.26,0.9966,7.7,9,3.39,5,1.9,0.64,31,0.49
6051b379ed43600644644dbc,10.5,0.045,0.04,0.9938,5,41,3.75,4,1.4,0.48,85,1.02
6051b379ed43600644644dbd,12.9,0.058,0.17,0.9932,4.7,17,3.85,6,2.3,0.6,106,0.6
6051b379ed43600644644dbe,10.7,0.102,0,0.9965,6.8,8,3.45,5,3,0.56,23,0.775
6051b379ed43600644644dbf,9.2,0.07,0.25,0.9963,7,3,3.25,5,2,0.63,22,0.5
6051b379ed43600644644dc0,9.8,0.079,0.06,0.9967,7.6,5,3.39,5,2.5,0.56,10,0.9
6051b379ed43600644644dc1,9,0.08,0.18,0.9972,8.1,13,3.3,6,1.9,0.59,35,0.545
6051b379ed43600644644dc2,10.2,0.084,0.3,0.9972,8.3,11,3.4,6,2.1,0.61,50,0.61
6051b379ed43600644644dc3,10.4,0.075,0.3,0.9959,7.8,8,3.31,6,1.9,0.56,22,0.5
6051b379ed43600644644dc4,9,0.08,0.18,0.9972,8.1,13,3.3,6,1.9,0.59,35,0.545
6051b379ed43600644644dc5,9.2,0.077,0.22,0.9967,8.1,12,3.29,5,2.1,0.51,65,0.575
6051b379ed43600644644dc6,9.4,0.07,0.24,0.996,7.2,5,3.33,5,2.2,0.48,36,0.49
6051b379ed43600644644dc7,9.2,0.077,0.22,0.9967,8.1,12,3.29,5,2.1,0.51,65,0.575
6051b379ed43600644644dc8,9.3,0.467,0.68,0.9973,7.8,18,3.08,5,1.7,1.31,69,0.41
6051b379ed43600644644dc9,9.3,0.088,0.31,0.9969,6.2,15,3.46,5,1.7,0.79,64,0.63
6051b379ed43600644644dca,9.6,0.091,0.53,0.9976,8,18,3.37,6,2.5,0.8,80,0.33
6051b379ed43600644644dcb,9.3,0.122,0.52,0.9969,8.1,37,3.21,5,2,0.69,153,0.785
6051b379ed43600644644dcc,9.5,0.104,0.19,0.9964,7.8,12,3.19,5,1.8,0.93,47,0.56
6051b379ed43600644644dcd,9.8,0.084,0.09,0.9964,8.4,11,3.15,5,2.2,0.66,108,0.62
6051b379ed43600644644dce,9.8,0.085,0.1,0.9964,8.4,14,3.15,5,2.2,0.66,111,0.6
6051b379ed43600644644dcf,9.7,0.08,0.44,0.9988,10.1,22,3.32,6,2.3,0.67,46,0.31
6051b379ed43600644644dd0,9.5,0.104,0.19,0.9964,7.8,12,3.19,5,1.8,0.93,47,0.56
6051b379ed43600644644dd1,10.5,0.09,0.31,0.9966,9.4,13,3.07,6,2.2,0.63,62,0.4
6051b379ed43600644644dd2,10,0.077,0.28,0.9978,8.3,11,3.39,6,1.9,0.61,40,0.54
6051b379ed43600644644dd3,9.4,0.082,0.12,0.997,7.8,7,3.37,6,2,0.5,28,0.56
6051b379ed43600644644dd4,10.9,0.119,0.04,0.9962,8.8,14,3.21,6,2.2,0.6,56,0.55
6051b379ed43600644644dd5,9.2,0.097,0.08,0.9959,7,22,3.34,6,1.8,0.54,89,0.69
6051b379ed43600644644dd6,9,0.178,0.09,0.9962,7.3,10,3.3,5,1.7,0.57,89,1.07
6051b379ed43600644644dd7,10.9,0.119,0.04,0.9962,8.8,14,3.21,6,2.2,0.6,56,0.55
6051b379ed43600644644dd8,9.2,0.075,0,0.998,7.3,3,3.49,5,2.5,0.52,13,0.695
6051b379ed43600644644dd9,9.5,0.08,0,0.9976,8,11,3.44,5,2.6,0.53,34,0.71
6051b379ed43600644644dda,9.5,0.082,0.17,0.996,7.8,21,3.39,5,1.6,0.48,102,0.5
6051b379ed43600644644ddb,9.4,0.146,0.04,0.9984,9,27,3.16,5,1.9,0.7,90,0.62
6051b379ed43600644644ddc,10.9,0.081,0,0.9964,8.2,3,3.53,5,1.7,0.49,12,1.33
6051b379ed43600644644ddd,10.9,0.082,0,0.9964,8.1,3,3.54,5,1.8,0.48,12,1.33
6051b379ed43600644644dde,10.5,0.065,0.16,0.9962,8,3,3.42,7,1.8,0.92,16,0.59
6051b379ed43600644644ddf,9.4,0.072,0.15,0.9955,6.1,6,3.42,5,1.8,0.57,19,0.38
6051b379ed43600644644de0,9.4,0.118,0.56,0.9968,8,30,3.24,5,2,0.66,134,0.745
6051b379ed43600644644de1,13,0.049,0.09,0.9937,5.6,17,3.63,5,2.3,0.63,99,0.5
6051b379ed43600644644de2,13,0.049,0.09,0.9937,5.6,17,3.63,5,2.3,0.63,99,0.5
6051b379ed43600644644de3,9.8,0.06,0.01,0.9952,6.6,17,3.4,6,1.5,0.58,26,0.5
6051b379ed43600644644de4,9.9,0.084,0.05,0.9959,7.9,13,3.22,6,2.2,0.55,29,1.04
6051b379ed43600644644de5,9.6,0.09,0.11,0.9965,8.4,16,3.19,5,1.9,0.82,63,0.745
6051b379ed43600644644de6,9.5,0.089,0.15,0.9968,8.3,10,3.23,5,1.8,0.77,52,0.715
6051b379ed43600644644de7,9.2,0.081,0.36,0.9972,7.2,13,3.48,5,2,0.64,45,0.415
6051b379ed43600644644de8,9.5,0.081,0.19,0.9962,7.8,15,3.33,5,2.1,0.54,105,0.56
6051b379ed43600644644de9,9.5,0.081,0.19,0.9962,7.8,17,3.32,5,2,0.54,108,0.56
6051b379ed43600644644dea,9.6,0.09,0.11,0.9965,8.4,16,3.19,5,1.9,0.82,63,0.745
6051b379ed43600644644deb,9.5,0.089,0.15,0.9968,8.3,10,3.23,5,1.8,0.77,52,0.715
6051b379ed43600644644dec,14,0.05,0,0.9916,5.2,27,3.68,6,1.8,0.79,63,0.34
6051b379ed43600644644ded,9.4,0.066,0.08,0.9954,6.3,3,3.34,5,1.7,0.58,20,0.39
6051b379ed43600644644dee,14,0.05,0,0.9916,5.2,27,3.68,6,1.8,0.79,63,0.34
6051b379ed43600644644def,9.4,0.117,0.55,0.9968,8.1,32,3.17,5,1.8,0.62,141,0.67
6051b379ed43600644644df0,10,0.087,0.02,0.9944,5.8,21,3.54,5,1.8,0.52,94,0.68
6051b379ed43600644644df1,9.3,0.236,0.26,0.9968,7.6,10,3.11,5,1.6,0.8,88,0.49
6051b379ed43600644644df2,10.2,0.074,0.1,0.9959,6.9,12,3.42,6,2.3,0.58,30,0.49
6051b379ed43600644644df3,10.5,0.089,0.44,0.9975,8.2,11,3.53,6,2.8,0.61,43,0.4
6051b379ed43600644644df4,10.3,0.077,0.47,0.9958,7.3,5,3.33,6,2.1,0.53,11,0.33
6051b379ed43600644644df5,9.4,0.61,1,0.9996,9.2,32,2.74,4,3.4,2,69,0.52
6051b379ed43600644644df6,10.1,0.095,0.03,0.995,7.5,25,3.35,5,1.8,0.54,99,0.6
6051b379ed43600644644df7,10.1,0.095,0.03,0.995,7.5,25,3.35,5,1.8,0.54,99,0.6
6051b379ed43600644644df8,10.5,0.07,0.42,0.9973,7.1,29,3.42,5,5.5,0.72,129,0.43
6051b379ed43600644644df9,10.5,0.071,0.42,0.9973,7.1,28,3.42,5,5.5,0.71,128,0.43
6051b379ed43600644644dfa,10.5,0.07,0.42,0.9973,7.1,29,3.42,5,5.5,0.72,129,0.43
6051b379ed43600644644dfb,10.5,0.071,0.42,0.9973,7.1,28,3.42,5,5.5,0.71,128,0.43
6051b379ed43600644644dfc,9.3,0.073,0,0.9969,7.1,12,3.48,5,2.2,0.5,22,0.68
6051b379ed43600644644dfd,9.3,0.079,0.18,0.9968,6.8,18,3.59,6,1.9,0.57,86,0.6
6051b379ed43600644644dfe,9.6,0.09,0.03,0.9959,7.6,7,3.2,5,2,0.56,20,0.95
6051b379ed43600644644dff,9.2,0.072,0.02,0.9965,7.6,9,3.17,4,1.3,1.08,20,0.68
6051b379ed43600644644e00,10,0.076,0.04,0.9964,7.8,17,3.33,6,1.7,0.56,31,0.53
6051b379ed43600644644e01,9.4,0.07,0.26,0.9982,7.4,36,3.37,5,7.3,0.49,121,0.6
6051b379ed43600644644e02,9.4,0.07,0.26,0.9981,7.3,35,3.37,5,7.2,0.49,121,0.59
6051b379ed43600644644e03,9.5,0.1,0.48,0.9961,7.8,14,3.19,5,1.7,0.62,96,0.63
6051b379ed43600644644e04,10.2,0.085,0.1,0.9956,6.8,18,3.34,5,2.1,0.52,101,0.64
6051b379ed43600644644e05,9,0.072,0.03,0.9956,7.3,17,3.37,4,1.6,0.48,42,0.55
6051b379ed43600644644e06,10.4,0.089,0.07,0.9953,6.8,11,3.47,6,2.1,0.55,44,0.63
6051b379ed43600644644e07,9.5,0.36,0.24,0.9964,7.5,15,3,5,1.8,1.59,63,0.705
6051b379ed43600644644e08,9.1,0.058,0.03,0.9972,7.9,4,3.36,4,1.8,0.33,8,0.885
6051b379ed43600644644e09,9.2,0.073,0.17,0.9972,8,6,3.29,6,2,0.61,18,0.42
6051b379ed43600644644e0a,9.2,0.073,0.17,0.9972,8,6,3.29,6,2,0.61,18,0.42
6051b379ed43600644644e0b,11.5,0.068,0.05,0.9961,7.4,24,3.42,6,1.9,0.57,42,0.62
6051b379ed43600644644e0c,9.5,0.08,0.21,0.9961,7.3,7,3.33,5,2,0.47,35,0.38
6051b379ed43600644644e0d,9.5,0.085,0.04,0.9958,6.9,19,3.35,5,1.5,0.78,49,0.5
6051b379ed43600644644e0e,9.5,0.08,0.21,0.9961,7.3,7,3.33,5,2,0.47,35,0.38
6051b379ed43600644644e0f,10.5,0.087,0.42,0.9972,7.5,8,3.58,6,2.3,0.61,38,0.52
6051b379ed43600644644e10,9.6,0.068,0,0.9969,7,7,3.48,5,2.5,0.56,20,0.805
6051b379ed43600644644e11,9.5,0.067,0.14,0.9969,8.8,10,3.19,5,2.4,0.59,42,0.61
6051b379ed43600644644e12,9.5,0.067,0.14,0.9969,8.8,10,3.19,5,2.4,0.59,42,0.61
6051b379ed43600644644e13,9.3,0.27,0.49,0.9972,8.9,23,3.12,5,2,1.02,110,0.61
6051b379ed43600644644e14,9.3,0.076,0.02,0.9972,7.2,16,3.44,5,2.5,0.52,42,0.73
6051b379ed43600644644e15,9.3,0.077,0.2,0.9971,6.8,11,3.54,5,1.8,0.58,65,0.61
6051b379ed43600644644e16,9.3,0.079,0.21,0.997,6.7,8,3.52,6,1.9,0.58,62,0.62
6051b379ed43600644644e17,9.7,0.111,0.57,0.9971,8.9,26,3.26,5,2,0.53,85,0.31
6051b379ed43600644644e18,9.2,0.082,0.48,0.9972,7.4,14,3.34,5,2,0.55,67,0.39
6051b379ed43600644644e19,9.7,0.084,0.1,0.9976,7.7,9,3.39,5,2.6,0.49,26,0.705
6051b379ed43600644644e1a,9.5,0.084,0.33,0.9968,7.9,15,3.2,5,2,0.55,143,0.5
6051b379ed43600644644e1b,9.5,0.082,0.32,0.9968,7.9,17,3.2,5,1.9,0.55,144,0.49
6051b379ed43600644644e1c,9.4,0.077,0.35,0.9976,8.2,21,3.23,5,2.9,0.62,127,0.5
6051b379ed43600644644e1d,9.8,0.074,0.25,0.9974,6.4,21,3.57,6,1.9,0.62,49,0.37
6051b379ed43600644644e1e,9.5,0.099,0.12,0.9969,6.8,16,3.28,5,3.8,0.61,126,0.63
6051b379ed43600644644e1f,9.7,0.071,0.21,0.9964,7.6,7,3.28,5,2.2,0.55,28,0.55
6051b379ed43600644644e20,9.7,0.071,0.21,0.9964,7.6,7,3.28,5,2.2,0.55,28,0.55
6051b379ed43600644644e21,9.4,0.074,0.33,0.9968,7.8,24,3.25,5,2,0.54,120,0.59
6051b379ed43600644644e22,10.2,0.074,0.3,0.9968,7.3,15,3.46,5,2.4,0.59,55,0.58
6051b379ed43600644644e23,10.1,0.067,0.6,0.9981,11.5,12,3.11,6,2,0.97,27,0.3
6051b379ed43600644644e24,13,0.046,0.08,0.9924,5.4,13,3.57,7,1.2,0.85,93,0.835
6051b379ed43600644644e25,11.4,0.061,0.06,0.9948,6.9,12,3.51,4,2.1,0.43,31,1.09
6051b379ed43600644644e26,10.3,0.056,0.47,0.99695,9.6,9,3.22,7,1.4,0.82,24,0.32
6051b379ed43600644644e27,9.3,0.097,0.48,0.9975,8.8,39,3.04,5,2.1,1.03,145,0.37
6051b379ed43600644644e28,9.5,0.075,0.11,0.99545,6.8,16,3.36,5,1.5,0.79,49,0.5
6051b379ed43600644644e29,9.2,0.088,0.35,0.9961,7,16,3.34,5,1.6,0.55,39,0.42
6051b379ed43600644644e2a,9.2,0.089,0.36,0.99615,7,14,3.34,6,1.6,0.56,37,0.43
6051b379ed43600644644e2b,10.8,0.095,0.74,0.9994,12.8,9,3.2,7,2.6,0.77,28,0.3
6051b379ed43600644644e2c,10.8,0.095,0.74,0.9994,12.8,9,3.2,7,2.6,0.77,28,0.3
6051b379ed43600644644e2d,9.3,0.069,0.31,0.99625,7.8,26,3.29,5,1.8,0.53,120,0.57
6051b379ed43600644644e2e,9.4,0.1,0.28,0.9966,7.8,18,3.22,5,2.7,0.67,95,0.44
6051b379ed43600644644e2f,10.5,0.054,0.58,0.998,11,7,3.31,7,2.1,0.88,19,0.3
6051b379ed43600644644e30,12.4,0.039,0.6,0.99585,9.7,5,3.3,6,2,0.86,19,0.53
6051b379ed43600644644e31,10,0.083,0.24,0.99685,8,10,3.35,6,2.8,0.56,62,0.725
6051b379ed43600644644e32,10.2,0.059,0.64,0.998,11.6,5,3.21,6,2.1,0.67,15,0.44
6051b379ed43600644644e33,10.1,0.06,0.26,0.9959,8.2,28,3.3,5,2.2,0.43,65,0.57
6051b379ed43600644644e34,9.8,0.092,0.08,0.9974,7.8,10,3.24,6,2.4,0.71,41,0.735
6051b379ed43600644644e35,10.5,0.06,0.49,0.9974,7,26,3.34,5,5.6,0.76,121,0.49
6051b379ed43600644644e36,11,0.101,0.16,0.9962,8.7,13,3.14,5,2,0.57,49,0.625
6051b379ed43600644644e37,9.1,0.072,0.22,0.9967,8.1,11,3.36,5,2.2,0.55,41,0.725
6051b379ed43600644644e38,9.7,0.076,0.19,0.9957,7.5,10,3.39,5,1.9,0.54,44,0.49
6051b379ed43600644644e39,9.5,0.08,0.33,0.99655,7.8,24,3.3,5,2.4,0.6,144,0.53
6051b379ed43600644644e3a,9.4,0.082,0.37,0.9964,7.8,24,3.34,6,2,0.59,58,0.34
6051b379ed43600644644e3b,9.4,0.101,0.26,0.9957,7.4,16,3.15,5,2,0.57,72,0.53
6051b379ed43600644644e3c,9.5,0.057,0.04,0.99525,6.8,5,3.42,5,1.5,0.6,10,0.61
6051b379ed43600644644e3d,10,0.083,0.25,0.99815,8.6,8,3.28,6,2,0.6,28,0.645
6051b379ed43600644644e3e,10.4,0.089,0.36,0.99745,8.4,15,3.31,4,2,0.57,55,0.635
6051b379ed43600644644e3f,10.5,0.073,0.25,0.99615,7.7,29,3.37,6,2.6,0.58,63,0.43
6051b379ed43600644644e40,9.5,0.337,0.5,0.9964,8.9,27,3.04,6,2,1.61,81,0.59
6051b379ed43600644644e41,9.8,0.089,0.14,0.9984,9,9,3.39,5,2.6,0.63,23,0.82
6051b379ed43600644644e42,10.5,0.073,0.25,0.99615,7.7,29,3.37,6,2.6,0.58,63,0.43
6051b379ed43600644644e43,11,0.081,0.25,0.99685,6.9,10,3.46,5,2.6,0.5,37,0.52
6051b379ed43600644644e44,12.2,0.054,0.04,0.9927,5.2,19,3.54,7,1.6,0.62,106,0.48
6051b379ed43600644644e45,9.9,0.078,0.06,0.99625,8,12,3.37,6,1.8,0.52,49,0.38
6051b379ed43600644644e46,9.6,0.09,0.2,0.998,8.5,18,3.34,6,2.8,0.7,58,0.37
6051b379ed43600644644e47,11,0.081,0.25,0.99685,6.9,10,3.46,5,2.6,0.5,37,0.52
6051b379ed43600644644e48,9,0.065,0.09,0.99685,8.2,7,3.32,6,2.3,0.55,37,1
6051b379ed43600644644e49,9,0.097,0,0.99675,7.2,14,3.37,6,1.9,0.58,38,0.63
6051b379ed43600644644e4a,9,0.097,0,0.99675,7.2,14,3.37,6,1.9,0.58,38,0.63
6051b379ed43600644644e4b,9.2,0.097,0,0.99675,7.2,15,3.37,6,1.9,0.58,39,0.645
6051b379ed43600644644e4c,9,0.097,0,0.99675,7.2,14,3.37,6,1.9,0.58,38,0.63
6051b379ed43600644644e4d,9,0.065,0.09,0.99685,8.2,7,3.32,6,2.3,0.55,37,1
6051b379ed43600644644e4e,9.3,0.263,0.37,0.9971,8.9,5,3,5,1.7,1.09,62,0.635
6051b379ed43600644644e4f,10.9,0.093,0.56,0.99925,12,6,3.14,6,2.1,0.71,24,0.38
6051b379ed43600644644e50,9.8,0.102,0.1,0.99565,7.7,28,3.08,6,1.8,0.49,109,0.58
6051b379ed43600644644e51,9.2,0.075,0.44,1.00005,15,10,3.07,7,2.2,0.84,24,0.21
6051b379ed43600644644e52,9.2,0.075,0.44,1.00005,15,10,3.07,7,2.2,0.84,24,0.21
6051b379ed43600644644e53,9.9,0.084,0,0.9983,7.3,6,3.61,6,2,0.96,23,0.66
6051b379ed43600644644e54,9.5,0.075,0.07,0.99685,7.1,16,3.38,5,1.9,0.52,51,0.68
6051b379ed43600644644e55,9.3,0.072,0.17,0.9963,8.2,11,3.2,5,2.3,0.45,73,0.6
6051b379ed43600644644e56,9.8,0.074,0.06,0.99615,7.7,9,3.35,6,1.7,0.48,39,0.53
6051b379ed43600644644e57,9.9,0.084,0,0.9983,7.3,6,3.61,6,2,0.96,23,0.66
